Var1,n
culture,25
people,25
benefits,20
team,18
perks,16
environment,13
food,13
"
",10
world,10
impact,9
choose,8
opportunity,8
projects,8
tools,8
free-food,8
engineers,7
fast,7
learn,7
offices,7
scale,7
smart,7
employees,6
flexible,6
job,6
move,6
opportunities,6
product,6
teams,6
breakfast,5
compensation,5
engineering,5
growth,5
pay,5
"people
",5
products,5
time,5
colleagues,4
day,4
ideas,4
industry,4
intelligent,4
learning,4
lunch,4
management,4
mission,4
nice,4
office,4
supportive,4
treated,4
breakfast-lunch,4
company-culture,4
awesome,3
balance,3
build,3
business,3
care,3
career,3
challenging,3
chance,3
class,3
code,3
collaborative,3
cool,3
dinner,3
drive,3
easy,3
everyday,3
experienced,3
fb,3
freedom,3
friendly,3
hard,3
hours,3
incredible,3
it’s,3
life,3
options,3
package,3
peoples,3
quality,3
skills,3
smartest,3
social,3
start,3
super,3
support,3
technical,3
transparency,3
travel,3
youve,3
amazing-benefits,3
amazing-perks,3
free-breakfast,3
move-fast,3
smart-people,3
smartest-people,3
free-breakfast-lunch,3
adult,2
ambition,2
average,2
cares,2
change,2
child,2
"company
",2
compensated,2
connect,2
constantly,2
core,2
"culture
",2
"culture
free",2
customers,2
decisions,2
depending,2
developer,2
develops,2
don’t,2
dream,2
driven,2
efficient,2
encouraged,2
engineer,2
ethic,2
exciting,2
extremely,2
feel,2
flexibility,2
focus,2
focuses,2
grow,2
gym,2
highly,2
home,2
incredibly,2
influence,2
inspiring,2
internal,2
leaders,2
leadership,2
led,2
lives,2
location,2
love,2
lovely,2
managers,2
matters,2
openness,2
paced,2
person,2
personal,2
qas,2
react,2
responsibility,2
rewarding,2
snacks,2
software,2
solve,2
staff,2
stay,2
succeed,2
surrounded,2
talent,2
talented,2
tooling,2
trusted,2
unparalleled,2
valued,2
vision,2
weekly,2
welcoming,2
workplace,2
wouldnt,2
amazing-culture,2
benefits-pay,2
career-opportunities,2
culture-free,2
fast-paced,2
food-gym,2
huge-support,2
job-ive,2
job-lovely,2
led-company,2
life-balance,2
opportunities-amazing,2
people-culture,2
real-impact,2
software-engineers,2
super-smart,2
weekly-qas,2
youll-learn,2
